route_key	verb	path	controller	action	environment	owner	disposition
GET|/admin/groups/new|admin/groups|new	GET	/admin/groups/new	admin/groups	new	production	active_admin_generated	review
GET|/admin/groups|admin/groups|index	GET	/admin/groups	admin/groups	index	production	active_admin_generated	review
GET|/admin/subscriptions/:id/edit|admin/subscriptions|edit	GET	/admin/subscriptions/:id/edit	admin/subscriptions	edit	production	active_admin_generated	review
GET|/admin/subscriptions/:id|admin/subscriptions|show	GET	/admin/subscriptions/:id	admin/subscriptions	show	production	active_admin_generated	review
GET|/admin/subscriptions/new|admin/subscriptions|new	GET	/admin/subscriptions/new	admin/subscriptions	new	production	active_admin_generated	review
GET|/admin/subscriptions|admin/subscriptions|index	GET	/admin/subscriptions	admin/subscriptions	index	production	active_admin_generated	review
GET|/admin/users/:id/edit|admin/users|edit	GET	/admin/users/:id/edit	admin/users	edit	production	active_admin_generated	review
GET|/admin/users/:id/login_as|admin/users|login_as	GET	/admin/users/:id/login_as	admin/users	login_as	production	active_admin_generated	review
GET|/admin/users/:id|admin/users|show	GET	/admin/users/:id	admin/users	show	production	active_admin_generated	review
GET|/admin/users|admin/users|index	GET	/admin/users	admin/users	index	production	active_admin_generated	review
GET|/admin|admin/groups|index	GET	/admin	admin/groups	index	production	active_admin_generated	review
GET|/api/b2/discussions/:id|api/b2/discussions|show	GET	/api/b2/discussions/:id	api/b2/discussions	show	production	first_party_production	migrate
GET|/api/b2/discussions|api/b2/discussions|index	GET	/api/b2/discussions	api/b2/discussions	index	production	first_party_production	migrate
GET|/api/b2/groups/:id|api/b2/groups|show	GET	/api/b2/groups/:id	api/b2/groups	show	production	first_party_production	migrate
GET|/api/b2/groups|api/b2/groups|index	GET	/api/b2/groups	api/b2/groups	index	production	first_party_production	migrate
GET|/api/b2/memberships|api/b2/memberships|index	GET	/api/b2/memberships	api/b2/memberships	index	production	first_party_production	migrate
GET|/api/b2/polls/:id|api/b2/polls|show	GET	/api/b2/polls/:id	api/b2/polls	show	production	first_party_production	migrate
GET|/api/b2/polls|api/b2/polls|index	GET	/api/b2/polls	api/b2/polls	index	production	first_party_production	migrate
GET|/api/b2/threads/:id/items|api/b2/threads|items	GET	/api/b2/threads/:id/items	api/b2/threads	items	production	first_party_production	migrate
GET|/api/b2/threads/:id/markdown|api/b2/threads|markdown	GET	/api/b2/threads/:id/markdown	api/b2/threads	markdown	production	first_party_production	migrate
GET|/api/b2/threads/:id|api/b2/threads|show	GET	/api/b2/threads/:id	api/b2/threads	show	production	first_party_production	migrate
GET|/api/b2/threads|api/b2/threads|index	GET	/api/b2/threads	api/b2/threads	index	production	first_party_production	migrate
GET|/api/b3/users/:id|api/b3/users|show	GET	/api/b3/users/:id	api/b3/users	show	production	first_party_production	migrate
GET|/api/b3/users/identity/:identity_type/:uid|api/b3/users|show_by_identity	GET	/api/b3/users/identity/:identity_type/:uid	api/b3/users	show_by_identity	production	first_party_production	migrate
GET|/api/b3/users|api/b3/users|index	GET	/api/b3/users	api/b3/users	index	production	first_party_production	migrate
GET|/api/v1/announcements/audience|api/v1/announcements|audience	GET	/api/v1/announcements/audience	api/v1/announcements	audience	production	first_party_production	migrate
GET|/api/v1/announcements/count|api/v1/announcements|count	GET	/api/v1/announcements/count	api/v1/announcements	count	production	first_party_production	migrate
GET|/api/v1/announcements/history|api/v1/announcements|history	GET	/api/v1/announcements/history	api/v1/announcements	history	production	first_party_production	migrate
GET|/api/v1/announcements/new_member_count|api/v1/announcements|new_member_count	GET	/api/v1/announcements/new_member_count	api/v1/announcements	new_member_count	production	first_party_production	migrate
